season,player,team,tenure_years
2012,DA Miller,Punjab Kings,1
2013,DA Miller,Punjab Kings,2
2014,DA Miller,Punjab Kings,3
2015,DA Miller,Punjab Kings,4
2016,DA Miller,Punjab Kings,5
2017,DA Miller,Punjab Kings,6
2018,DA Miller,Punjab Kings,7
2019,DA Miller,Punjab Kings,8
2020,DA Miller,Rajasthan Royals,1
2021,DA Miller,Rajasthan Royals,2
2022,DA Miller,Gujarat Titans,1
2023,DA Miller,Gujarat Titans,2
2024,DA Miller,Gujarat Titans,3
2025,DA Miller,Lucknow Super Giants,1
2009,DA Warner,Delhi Capitals,1
2010,DA Warner,Delhi Capitals,2
2011,DA Warner,Delhi Capitals,3
2012,DA Warner,Delhi Capitals,4
2013,DA Warner,Delhi Capitals,5
2014,DA Warner,Sunrisers Hyderabad,1
2015,DA Warner,Sunrisers Hyderabad,2
2016,DA Warner,Sunrisers Hyderabad,3
2017,DA Warner,Sunrisers Hyderabad,4
2019,DA Warner,Sunrisers Hyderabad,1
2020,DA Warner,Sunrisers Hyderabad,2
2021,DA Warner,Sunrisers Hyderabad,3
2022,DA Warner,Delhi Capitals,1
2023,DA Warner,Delhi Capitals,2
2024,DA Warner,Delhi Capitals,3
2012,DAJ Bracewell,Delhi Capitals,1
2008,DB Das,Kolkata Knight Riders,1
2012,DB Das,Kolkata Knight Riders,1
2013,DB Das,Kolkata Knight Riders,2
2008,DB Ravi Teja,Deccan Chargers,1
2009,DB Ravi Teja,Deccan Chargers,2
2011,DB Ravi Teja,Deccan Chargers,1
2012,DB Ravi Teja,Deccan Chargers,2
2013,DB Ravi Teja,Sunrisers Hyderabad,1
2010,DE Bollinger,Chennai Super Kings,1
2011,DE Bollinger,Chennai Super Kings,2
2012,DE Bollinger,Chennai Super Kings,3
2022,DG Nalkande,Gujarat Titans,1
2023,DG Nalkande,Gujarat Titans,2
2024,DG Nalkande,Gujarat Titans,3
2011,DH Yagnik,Rajasthan Royals,1
2012,DH Yagnik,Rajasthan Royals,2
2013,DH Yagnik,Rajasthan Royals,3
2014,DH Yagnik,Rajasthan Royals,4
2008,DJ Bravo,Mumbai Indians,1
2009,DJ Bravo,Mumbai Indians,2
2010,DJ Bravo,Mumbai Indians,3
2011,DJ Bravo,Chennai Super Kings,1
2012,DJ Bravo,Chennai Super Kings,2
2013,DJ Bravo,Chennai Super Kings,3
2014,DJ Bravo,Chennai Super Kings,4
2015,DJ Bravo,Chennai Super Kings,5
2016,DJ Bravo,Gujarat Lions,1
2018,DJ Bravo,Chennai Super Kings,1
2019,DJ Bravo,Chennai Super Kings,2
2020,DJ Bravo,Chennai Super Kings,3
2021,DJ Bravo,Chennai Super Kings,4
2022,DJ Bravo,Chennai Super Kings,5
2012,DJ Harris,Deccan Chargers,1
2015,DJ Hooda,Rajasthan Royals,1
2016,DJ Hooda,Sunrisers Hyderabad,1
2017,DJ Hooda,Sunrisers Hyderabad,2
2018,DJ Hooda,Sunrisers Hyderabad,3
2019,DJ Hooda,Sunrisers Hyderabad,4
2020,DJ Hooda,Punjab Kings,1
2021,DJ Hooda,Punjab Kings,2
2022,DJ Hooda,Lucknow Super Giants,1
2023,DJ Hooda,Lucknow Super Giants,2
2024,DJ Hooda,Lucknow Super Giants,3
2025,DJ Hooda,Chennai Super Kings,1
2008,DJ Hussey,Kolkata Knight Riders,1
2009,DJ Hussey,Kolkata Knight Riders,2
2010,DJ Hussey,Kolkata Knight Riders,3
2011,DJ Hussey,Punjab Kings,1
2012,DJ Hussey,Punjab Kings,2
2013,DJ Hussey,Punjab Kings,3
2014,DJ Hussey,Chennai Super Kings,1
2011,DJ Jacobs,Mumbai Indians,1
2012,DJ Jacobs,Mumbai Indians,2
2021,DJ Malan,Punjab Kings,1
2022,DJ Mitchell,Rajasthan Royals,1
2024,DJ Mitchell,Chennai Super Kings,1
2015,DJ Muthuswami,Delhi Capitals,1
2008,DJ Thornely,Mumbai Indians,1
2018,DJ Willey,Chennai Super Kings,1
2022,DJ Willey,Royal Challengers Bengaluru,1
2023,DJ Willey,Royal Challengers Bengaluru,2
2013,DJG Sammy,Sunrisers Hyderabad,1
2014,DJG Sammy,Sunrisers Hyderabad,2
2015,DJG Sammy,Royal Challengers Bengaluru,1
2018,DJM Short,Rajasthan Royals,1
2016,DL Chahar,Rising Pune Supergiant,1
2017,DL Chahar,Rising Pune Supergiant,2
2018,DL Chahar,Chennai Super Kings,1
2019,DL Chahar,Chennai Super Kings,2
2020,DL Chahar,Chennai Super Kings,3
2021,DL Chahar,Chennai Super Kings,4
2023,DL Chahar,Chennai Super Kings,1
2024,DL Chahar,Chennai Super Kings,2
2025,DL Chahar,Mumbai Indians,1
2008,DL Vettori,Delhi Capitals,1
2009,DL Vettori,Delhi Capitals,2
2010,DL Vettori,Delhi Capitals,3
2011,DL Vettori,Royal Challengers Bengaluru,1
2012,DL Vettori,Royal Challengers Bengaluru,2
2017,DM Bravo,Kolkata Knight Riders,1
2008,DNT Zoysa,Deccan Chargers,1
2022,DP Conway,Chennai Super Kings,1
2023,DP Conway,Chennai Super Kings,2
2025,DP Conway,Chennai Super Kings,1
2009,DP Nannes,Delhi Capitals,1
2010,DP Nannes,Delhi Capitals,2
2011,DP Nannes,Royal Challengers Bengaluru,1
2013,DP Nannes,Chennai Super Kings,1
2008,DP Vijaykumar,Deccan Chargers,1
2008,DPMD Jayawardene,Punjab Kings,1
2009,DPMD Jayawardene,Punjab Kings,2
2010,DPMD Jayawardene,Punjab Kings,3
2011,DPMD Jayawardene,Kochi Tuskers Kerala,1
2012,DPMD Jayawardene,Delhi Capitals,1
2013,DPMD Jayawardene,Delhi Capitals,2
2010,DR Martyn,Rajasthan Royals,1
2020,DR Sams,Delhi Capitals,1
2021,DR Sams,Royal Challengers Bengaluru,1
2022,DR Sams,Mumbai Indians,1
2018,DR Shorey,Chennai Super Kings,1
2019,DR Shorey,Chennai Super Kings,2
2008,DR Smith,Mumbai Indians,1
2009,DR Smith,Deccan Chargers,1
2010,DR Smith,Deccan Chargers,2
2012,DR Smith,Mumbai Indians,1
2013,DR Smith,Mumbai Indians,2
2014,DR Smith,Chennai Super Kings,1
2015,DR Smith,Chennai Super Kings,2
2016,DR Smith,Gujarat Lions,1
2017,DR Smith,Gujarat Lions,2
2008,DS Kulkarni,Mumbai Indians,1
2009,DS Kulkarni,Mumbai Indians,2
2010,DS Kulkarni,Mumbai Indians,3
2011,DS Kulkarni,Mumbai Indians,4
2012,DS Kulkarni,Mumbai Indians,5
2013,DS Kulkarni,Mumbai Indians,6
2014,DS Kulkarni,Rajasthan Royals,1
2015,DS Kulkarni,Rajasthan Royals,2
2016,DS Kulkarni,Gujarat Lions,1
2017,DS Kulkarni,Gujarat Lions,2
2018,DS Kulkarni,Rajasthan Royals,1
2019,DS Kulkarni,Rajasthan Royals,2
2020,DS Kulkarni,Mumbai Indians,1
2021,DS Kulkarni,Mumbai Indians,2
2008,DS Lehmann,Rajasthan Royals,1
2025,DS Rathi,Lucknow Super Giants,1
2011,DT Christian,Deccan Chargers,1
2012,DT Christian,Deccan Chargers,2
2013,DT Christian,Royal Challengers Bengaluru,1
2017,DT Christian,Rising Pune Supergiant,1
2018,DT Christian,Delhi Capitals,1
2021,DT Christian,Royal Challengers Bengaluru,1
2008,DT Patil,Royal Challengers Bengaluru,1
2008,DW Steyn,Royal Challengers Bengaluru,1
2009,DW Steyn,Royal Challengers Bengaluru,2
2010,DW Steyn,Royal Challengers Bengaluru,3
2011,DW Steyn,Deccan Chargers,1
2012,DW Steyn,Deccan Chargers,2
2013,DW Steyn,Sunrisers Hyderabad,1
2014,DW Steyn,Sunrisers Hyderabad,2
2015,DW Steyn,Sunrisers Hyderabad,3
2016,DW Steyn,Gujarat Lions,1
2019,DW Steyn,Royal Challengers Bengaluru,1
2020,DW Steyn,Royal Challengers Bengaluru,2
2023,Dhruv Jurel,Rajasthan Royals,1
2024,Dhruv Jurel,Rajasthan Royals,2
2025,Dhruv Jurel,Rajasthan Royals,3
2018,E Lewis,Mumbai Indians,1
2019,E Lewis,Mumbai Indians,2
2021,E Lewis,Rajasthan Royals,1
2022,E Lewis,Lucknow Super Giants,1
2025,E Malinga,Sunrisers Hyderabad,1
2010,EJG Morgan,Royal Challengers Bengaluru,1
2011,EJG Morgan,Kolkata Knight Riders,1
2013,EJG Morgan,Kolkata Knight Riders,1
2015,EJG Morgan,Sunrisers Hyderabad,1
2016,EJG Morgan,Sunrisers Hyderabad,2
2017,EJG Morgan,Punjab Kings,1
2020,EJG Morgan,Kolkata Knight Riders,1
2021,EJG Morgan,Kolkata Knight Riders,2
2016,ER Dwivedi,Gujarat Lions,1
2016,F Behardien,Punjab Kings,1
2012,F du Plessis,Chennai Super Kings,1
2014,F du Plessis,Chennai Super Kings,1
2015,F du Plessis,Chennai Super Kings,2
2016,F du Plessis,Rising Pune Supergiant,1
2017,F du Plessis,Rising Pune Supergiant,2
2018,F du Plessis,Chennai Super Kings,1
2019,F du Plessis,Chennai Super Kings,2
2020,F du Plessis,Chennai Super Kings,3
2021,F du Plessis,Chennai Super Kings,4
2022,F du Plessis,Royal Challengers Bengaluru,1
2023,F du Plessis,Royal Challengers Bengaluru,2
2024,F du Plessis,Royal Challengers Bengaluru,3
2025,F du Plessis,Delhi Capitals,1
2021,FA Allen,Punjab Kings,1
2022,FA Allen,Mumbai Indians,1
2009,FH Edwards,Deccan Chargers,1
2010,FY Fazal,Rajasthan Royals,1
2011,FY Fazal,Rajasthan Royals,2
2022,Fazalhaq Farooqi,Sunrisers Hyderabad,1
2023,Fazalhaq Farooqi,Sunrisers Hyderabad,2
2025,Fazalhaq Farooqi,Rajasthan Royals,1
2024,G Coetzee,Mumbai Indians,1
2025,G Coetzee,Gujarat Titans,1
2008,G Gambhir,Delhi Capitals,1
2009,G Gambhir,Delhi Capitals,2
2010,G Gambhir,Delhi Capitals,3
2011,G Gambhir,Kolkata Knight Riders,1
2012,G Gambhir,Kolkata Knight Riders,2
2013,G Gambhir,Kolkata Knight Riders,3
2014,G Gambhir,Kolkata Knight Riders,4
2015,G Gambhir,Kolkata Knight Riders,5
2016,G Gambhir,Kolkata Knight Riders,6
2017,G Gambhir,Kolkata Knight Riders,7
2018,G Gambhir,Delhi Capitals,1
2012,GB Hogg,Rajasthan Royals,1
2013,GB Hogg,Rajasthan Royals,2
2015,GB Hogg,Kolkata Knight Riders,1
2016,GB Hogg,Kolkata Knight Riders,2
2008,GC Smith,Rajasthan Royals,1
2009,GC Smith,Rajasthan Royals,2
2010,GC Smith,Rajasthan Royals,3
2011,GC Smith,Pune Warriors,1
2019,GC Viljoen,Punjab Kings,1
2008,GD McGrath,Delhi Capitals,1
2021,GD Phillips,Rajasthan Royals,1
2023,GD Phillips,Sunrisers Hyderabad,1
2013,GH Vihari,Sunrisers Hyderabad,1
2015,GH Vihari,Sunrisers Hyderabad,1
2019,GH Vihari,Delhi Capitals,1
2021,GHS Garton,Royal Challengers Bengaluru,1
2009,GJ Bailey,Chennai Super Kings,1
2010,GJ Bailey,Chennai Super Kings,2
2014,GJ Bailey,Punjab Kings,1
2015,GJ Bailey,Punjab Kings,2
2016,GJ Bailey,Rising Pune Supergiant,1
2012,GJ Maxwell,Delhi Capitals,1
2013,GJ Maxwell,Mumbai Indians,1
2014,GJ Maxwell,Punjab Kings,1
2015,GJ Maxwell,Punjab Kings,2
2016,GJ Maxwell,Punjab Kings,3
2017,GJ Maxwell,Punjab Kings,4
2018,GJ Maxwell,Delhi Capitals,1
2020,GJ Maxwell,Punjab Kings,1
2021,GJ Maxwell,Royal Challengers Bengaluru,1
2022,GJ Maxwell,Royal Challengers Bengaluru,2
2023,GJ Maxwell,Royal Challengers Bengaluru,3
2024,GJ Maxwell,Royal Challengers Bengaluru,4
2025,GJ Maxwell,Punjab Kings,1
2009,GR Napier,Mumbai Indians,1
2015,GS Sandhu,Delhi Capitals,1
2008,Gagandeep Singh,Punjab Kings,1
2024,Gulbadin Naib,Delhi Capitals,1
2012,Gurkeerat Singh,Punjab Kings,1
2013,Gurkeerat Singh,Punjab Kings,2
2015,Gurkeerat Singh,Punjab Kings,1
2016,Gurkeerat Singh,Punjab Kings,2
2019,Gurkeerat Singh,Royal Challengers Bengaluru,1
2020,Gurkeerat Singh,Royal Challengers Bengaluru,2
2023,Gurnoor Brar,Punjab Kings,1
2008,H Das,Deccan Chargers,1
2018,H Klaasen,Rajasthan Royals,1
2019,H Klaasen,Royal Challengers Bengaluru,1
2023,H Klaasen,Sunrisers Hyderabad,1
2024,H Klaasen,Sunrisers Hyderabad,2
2025,H Klaasen,Sunrisers Hyderabad,3
2023,H Sharma,Royal Challengers Bengaluru,1
2024,H Sharma,Royal Challengers Bengaluru,2
2023,HC Brook,Sunrisers Hyderabad,1
2022,HE van der Dussen,Rajasthan Royals,1
2019,HF Gurney,Kolkata Knight Riders,1
2008,HH Gibbs,Deccan Chargers,1
2009,HH Gibbs,Deccan Chargers,2
2010,HH Gibbs,Deccan Chargers,3
2012,HH Gibbs,Mumbai Indians,1
2015,HH Pandya,Mumbai Indians,1
2016,HH Pandya,Mumbai Indians,2
2017,HH Pandya,Mumbai Indians,3
2018,HH Pandya,Mumbai Indians,4
2019,HH Pandya,Mumbai Indians,5
2020,HH Pandya,Mumbai Indians,6
2021,HH Pandya,Mumbai Indians,7
2022,HH Pandya,Gujarat Titans,1
2023,HH Pandya,Gujarat Titans,2
2024,HH Pandya,Mumbai Indians,1
2025,HH Pandya,Mumbai Indians,2
2016,HM Amla,Punjab Kings,1
2017,HM Amla,Punjab Kings,2
2022,HR Shokeen,Mumbai Indians,1
2023,HR Shokeen,Mumbai Indians,2
2012,HV Patel,Royal Challengers Bengaluru,1
2014,HV Patel,Royal Challengers Bengaluru,1
2015,HV Patel,Royal Challengers Bengaluru,2
2016,HV Patel,Royal Challengers Bengaluru,3
2017,HV Patel,Royal Challengers Bengaluru,4
2018,HV Patel,Delhi Capitals,1
2019,HV Patel,Delhi Capitals,2
2020,HV Patel,Delhi Capitals,3
2021,HV Patel,Royal Challengers Bengaluru,1
2022,HV Patel,Royal Challengers Bengaluru,2
2023,HV Patel,Royal Challengers Bengaluru,3
2024,HV Patel,Punjab Kings,1
2025,HV Patel,Sunrisers Hyderabad,1
2008,Harbhajan Singh,Mumbai Indians,1
2009,Harbhajan Singh,Mumbai Indians,2
2010,Harbhajan Singh,Mumbai Indians,3
2011,Harbhajan Singh,Mumbai Indians,4
2012,Harbhajan Singh,Mumbai Indians,5
2013,Harbhajan Singh,Mumbai Indians,6
2014,Harbhajan Singh,Mumbai Indians,7
2015,Harbhajan Singh,Mumbai Indians,8
2016,Harbhajan Singh,Mumbai Indians,9
2017,Harbhajan Singh,Mumbai Indians,10
2018,Harbhajan Singh,Chennai Super Kings,1
2019,Harbhajan Singh,Chennai Super Kings,2
2021,Harbhajan Singh,Kolkata Knight Riders,1
2009,Harmeet Singh,Deccan Chargers,1
2010,Harmeet Singh,Deccan Chargers,2
2011,Harmeet Singh,Deccan Chargers,3
2012,Harmeet Singh,Punjab Kings,1
2013,Harmeet Singh,Punjab Kings,2
2019,Harpreet Brar,Punjab Kings,1
2020,Harpreet Brar,Punjab Kings,2
2021,Harpreet Brar,Punjab Kings,3
2022,Harpreet Brar,Punjab Kings,4
2023,Harpreet Brar,Punjab Kings,5
2024,Harpreet Brar,Punjab Kings,6
2025,Harpreet Brar,Punjab Kings,7
2011,Harpreet Singh,Pune Warriors,1
2012,Harpreet Singh,Pune Warriors,2
2023,Harpreet Singh,Punjab Kings,1
2024,Harpreet Singh,Punjab Kings,2
2025,Harsh Dubey,Sunrisers Hyderabad,1
2022,Harshit Rana,Kolkata Knight Riders,1
2023,Harshit Rana,Kolkata Knight Riders,2
2024,Harshit Rana,Kolkata Knight Riders,3
2025,Harshit Rana,Kolkata Knight Riders,4
2011,I Malhotra,Deccan Chargers,1
2008,I Sharma,Kolkata Knight Riders,1
2009,I Sharma,Kolkata Knight Riders,2
2010,I Sharma,Kolkata Knight Riders,3
2011,I Sharma,Deccan Chargers,1
2013,I Sharma,Sunrisers Hyderabad,1
2014,I Sharma,Sunrisers Hyderabad,2
2015,I Sharma,Sunrisers Hyderabad,3
2016,I Sharma,Rising Pune Supergiant,1
2017,I Sharma,Punjab Kings,1
2019,I Sharma,Delhi Capitals,1
2020,I Sharma,Delhi Capitals,2
2021,I Sharma,Delhi Capitals,3
2023,I Sharma,Delhi Capitals,1
2024,I Sharma,Delhi Capitals,2
2025,I Sharma,Gujarat Titans,1
2020,I Udana,Royal Challengers Bengaluru,1
2013,IC Pandey,Pune Warriors,1
2014,IC Pandey,Chennai Super Kings,1
2015,IC Pandey,Chennai Super Kings,2
2021,IC Porel,Punjab Kings,1
2008,IK Pathan,Punjab Kings,1
2009,IK Pathan,Punjab Kings,2
2010,IK Pathan,Punjab Kings,3
2011,IK Pathan,Delhi Capitals,1
2012,IK Pathan,Delhi Capitals,2
2013,IK Pathan,Delhi Capitals,3
2014,IK Pathan,Sunrisers Hyderabad,1
2016,IK Pathan,Rising Pune Supergiant,1
2017,IK Pathan,Gujarat Lions,1
2011,IR Jaggi,Deccan Chargers,1
2012,IR Jaggi,Deccan Chargers,2
2017,IR Jaggi,Kolkata Knight Riders,1
2018,IS Sodhi,Rajasthan Royals,1
2019,IS Sodhi,Rajasthan Royals,2
2014,Imran Tahir,Delhi Capitals,1
2015,Imran Tahir,Delhi Capitals,2
2016,Imran Tahir,Delhi Capitals,3
2017,Imran Tahir,Rising Pune Supergiant,1
2018,Imran Tahir,Chennai Super Kings,1
2019,Imran Tahir,Chennai Super Kings,2
2020,Imran Tahir,Chennai Super Kings,3
2021,Imran Tahir,Chennai Super Kings,4
2008,Iqbal Abdulla,Kolkata Knight Riders,1
2010,Iqbal Abdulla,Kolkata Knight Riders,1
2011,Iqbal Abdulla,Kolkata Knight Riders,2
2012,Iqbal Abdulla,Kolkata Knight Riders,3
2013,Iqbal Abdulla,Kolkata Knight Riders,4
2014,Iqbal Abdulla,Rajasthan Royals,1
2015,Iqbal Abdulla,Royal Challengers Bengaluru,1
2016,Iqbal Abdulla,Royal Challengers Bengaluru,2
2017,Iqbal Abdulla,Royal Challengers Bengaluru,3
2016,Ishan Kishan,Gujarat Lions,1
2017,Ishan Kishan,Gujarat Lions,2
2018,Ishan Kishan,Mumbai Indians,1
2019,Ishan Kishan,Mumbai Indians,2
2020,Ishan Kishan,Mumbai Indians,3
2021,Ishan Kishan,Mumbai Indians,4
2022,Ishan Kishan,Mumbai Indians,5
2023,Ishan Kishan,Mumbai Indians,6
2024,Ishan Kishan,Mumbai Indians,7
2025,Ishan Kishan,Sunrisers Hyderabad,1
2008,J Arunkumar,Royal Challengers Bengaluru,1
2009,J Botha,Rajasthan Royals,1
2011,J Botha,Rajasthan Royals,1
2012,J Botha,Rajasthan Royals,2
2013,J Botha,Delhi Capitals,1
2015,J Botha,Kolkata Knight Riders,1
2024,J Fraser-McGurk,Delhi Capitals,1
2025,J Fraser-McGurk,Delhi Capitals,2
2023,J Little,Gujarat Titans,1
2024,J Little,Gujarat Titans,2
2025,J Overton,Chennai Super Kings,1
2015,J Suchith,Mumbai Indians,1
2016,J Suchith,Mumbai Indians,2
2019,J Suchith,Delhi Capitals,1
2021,J Suchith,Sunrisers Hyderabad,1
2022,J Suchith,Sunrisers Hyderabad,2
2011,J Syed Mohammad,Royal Challengers Bengaluru,1
2012,J Syed Mohammad,Royal Challengers Bengaluru,2
2013,J Syed Mohammad,Royal Challengers Bengaluru,3
2010,J Theron,Punjab Kings,1
2012,J Theron,Deccan Chargers,1
2015,J Theron,Rajasthan Royals,1
2015,J Yadav,Delhi Capitals,1
2016,J Yadav,Delhi Capitals,2
2017,J Yadav,Delhi Capitals,3
2019,J Yadav,Mumbai Indians,1
2020,J Yadav,Mumbai Indians,2
2021,J Yadav,Mumbai Indians,3
2023,J Yadav,Gujarat Titans,1
2008,JA Morkel,Chennai Super Kings,1
2009,JA Morkel,Chennai Super Kings,2
2010,JA Morkel,Chennai Super Kings,3
2011,JA Morkel,Chennai Super Kings,4
2012,JA Morkel,Chennai Super Kings,5
2013,JA Morkel,Chennai Super Kings,6
2014,JA Morkel,Royal Challengers Bengaluru,1
2015,JA Morkel,Delhi Capitals,1
2016,JA Morkel,Rising Pune Supergiant,1
2021,JA Richardson,Punjab Kings,1
2024,JA Richardson,Delhi Capitals,1
2018,JC Archer,Rajasthan Royals,1
2019,JC Archer,Rajasthan Royals,2
2020,JC Archer,Rajasthan Royals,3
2023,JC Archer,Mumbai Indians,1
2025,JC Archer,Rajasthan Royals,1
2016,JC Buttler,Mumbai Indians,1
2017,JC Buttler,Mumbai Indians,2
2018,JC Buttler,Rajasthan Royals,1
2019,JC Buttler,Rajasthan Royals,2
2020,JC Buttler,Rajasthan Royals,3
2021,JC Buttler,Rajasthan Royals,4
2022,JC Buttler,Rajasthan Royals,5
2023,JC Buttler,Rajasthan Royals,6
2024,JC Buttler,Rajasthan Royals,7
2025,JC Buttler,Gujarat Titans,1
2009,JD Ryder,Royal Challengers Bengaluru,1
2011,JD Ryder,Pune Warriors,1
2012,JD Ryder,Pune Warriors,2
2010,JD Unadkat,Kolkata Knight Riders,1
2011,JD Unadkat,Kolkata Knight Riders,2
2012,JD Unadkat,Kolkata Knight Riders,3
2013,JD Unadkat,Royal Challengers Bengaluru,1
2014,JD Unadkat,Delhi Capitals,1
2015,JD Unadkat,Delhi Capitals,2
2016,JD Unadkat,Kolkata Knight Riders,1
2017,JD Unadkat,Rising Pune Supergiant,1
2018,JD Unadkat,Rajasthan Royals,1
2019,JD Unadkat,Rajasthan Royals,2
2020,JD Unadkat,Rajasthan Royals,3
2021,JD Unadkat,Rajasthan Royals,4
2022,JD Unadkat,Mumbai Indians,1
2023,JD Unadkat,Lucknow Super Giants,1
2024,JD Unadkat,Sunrisers Hyderabad,1
2025,JD Unadkat,Sunrisers Hyderabad,2
2008,JDP Oram,Chennai Super Kings,1
2009,JDP Oram,Chennai Super Kings,2
2011,JDP Oram,Rajasthan Royals,1
2013,JDP Oram,Mumbai Indians,1
2014,JDS Neesham,Delhi Capitals,1
2020,JDS Neesham,Punjab Kings,1
2021,JDS Neesham,Mumbai Indians,1
2022,JDS Neesham,Rajasthan Royals,1
2023,JE Root,Rajasthan Royals,1
2011,JE Taylor,Pune Warriors,1
2011,JEC Franklin,Mumbai Indians,1
2012,JEC Franklin,Mumbai Indians,2
2025,JG Bethell,Royal Challengers Bengaluru,1
2008,JH Kallis,Royal Challengers Bengaluru,1
2009,JH Kallis,Royal Challengers Bengaluru,2
2010,JH Kallis,Royal Challengers Bengaluru,3
2011,JH Kallis,Kolkata Knight Riders,1
2012,JH Kallis,Kolkata Knight Riders,2
2013,JH Kallis,Kolkata Knight Riders,3
2014,JH Kallis,Kolkata Knight Riders,4
2013,JJ Bumrah,Mumbai Indians,1
2014,JJ Bumrah,Mumbai Indians,2
2015,JJ Bumrah,Mumbai Indians,3
2016,JJ Bumrah,Mumbai Indians,4
2017,JJ Bumrah,Mumbai Indians,5
2018,JJ Bumrah,Mumbai Indians,6
2019,JJ Bumrah,Mumbai Indians,7
2020,JJ Bumrah,Mumbai Indians,8
2021,JJ Bumrah,Mumbai Indians,9
2022,JJ Bumrah,Mumbai Indians,10
2024,JJ Bumrah,Mumbai Indians,1
2025,JJ Bumrah,Mumbai Indians,2
2017,JJ Roy,Gujarat Lions,1
2018,JJ Roy,Delhi Capitals,1
2021,JJ Roy,Sunrisers Hyderabad,1
2023,JJ Roy,Kolkata Knight Riders,1
2011,JJ van der Wath,Royal Challengers Bengaluru,1
2019,JL Denly,Kolkata Knight Riders,1
2020,JL Pattinson,Mumbai Indians,1
2019,JM Bairstow,Sunrisers Hyderabad,1
2020,JM Bairstow,Sunrisers Hyderabad,2
2021,JM Bairstow,Sunrisers Hyderabad,3
2022,JM Bairstow,Punjab Kings,1
2024,JM Bairstow,Punjab Kings,1
2025,JM Bairstow,Mumbai Indians,1
2010,JM Kemp,Chennai Super Kings,1
2022,JM Sharma,Punjab Kings,1
2023,JM Sharma,Punjab Kings,2
2024,JM Sharma,Punjab Kings,3
2025,JM Sharma,Royal Challengers Bengaluru,1
2013,JO Holder,Chennai Super Kings,1
2014,JO Holder,Sunrisers Hyderabad,1
2016,JO Holder,Kolkata Knight Riders,1
2020,JO Holder,Sunrisers Hyderabad,1
2021,JO Holder,Sunrisers Hyderabad,2
2022,JO Holder,Lucknow Super Giants,1
2023,JO Holder,Rajasthan Royals,1
2019,JP Behrendorff,Mumbai Indians,1
2023,JP Behrendorff,Mumbai Indians,1
2009,JP Duminy,Mumbai Indians,1
2010,JP Duminy,Mumbai Indians,2
2011,JP Duminy,Deccan Chargers,1
2012,JP Duminy,Deccan Chargers,2
2014,JP Duminy,Delhi Capitals,1
2015,JP Duminy,Delhi Capitals,2
2016,JP Duminy,Delhi Capitals,3
2018,JP Duminy,Mumbai Indians,1
2011,JP Faulkner,Pune Warriors,1
2012,JP Faulkner,Punjab Kings,1
2013,JP Faulkner,Rajasthan Royals,1
2014,JP Faulkner,Rajasthan Royals,2
2015,JP Faulkner,Rajasthan Royals,3
2016,JP Faulkner,Gujarat Lions,1
2017,JP Faulkner,Gujarat Lions,2
2025,JP Inglis,Punjab Kings,1
2018,JPR Scantlebury-Searles,Kolkata Knight Riders,1
2020,JR Hazlewood,Chennai Super Kings,1
2021,JR Hazlewood,Chennai Super Kings,2
2022,JR Hazlewood,Royal Challengers Bengaluru,1
2023,JR Hazlewood,Royal Challengers Bengaluru,2
2025,JR Hazlewood,Royal Challengers Bengaluru,1
2008,JR Hopes,Punjab Kings,1
2011,JR Hopes,Delhi Capitals,1
2020,JR Philippe,Royal Challengers Bengaluru,1
2014,JW Hastings,Chennai Super Kings,1
2016,JW Hastings,Kolkata Knight Riders,1
2021,Jalaj S Saxena,Punjab Kings,1
2009,Jaskaran Singh,Deccan Chargers,1
2010,Jaskaran Singh,Deccan Chargers,2
2008,Joginder Sharma,Chennai Super Kings,1
2009,Joginder Sharma,Chennai Super Kings,2
2010,Joginder Sharma,Chennai Super Kings,3
2011,Joginder Sharma,Chennai Super Kings,4
2008,K Goel,Punjab Kings,1
2009,K Goel,Punjab Kings,2
2010,K Goel,Punjab Kings,3
2018,K Gowtham,Rajasthan Royals,1
2019,K Gowtham,Rajasthan Royals,2
2020,K Gowtham,Punjab Kings,1
2022,K Gowtham,Lucknow Super Giants,1
2023,K Gowtham,Lucknow Super Giants,2
2024,K Gowtham,Lucknow Super Giants,3
2022,K Kartikeya,Mumbai Indians,1
2023,K Kartikeya,Mumbai Indians,2
2025,K Kartikeya,Rajasthan Royals,1
2018,K Khejroliya,Royal Challengers Bengaluru,1
2019,K Khejroliya,Royal Challengers Bengaluru,2
2023,K Khejroliya,Kolkata Knight Riders,1
2025,K Khejroliya,Gujarat Titans,1
2017,K Rabada,Delhi Capitals,1
2019,K Rabada,Delhi Capitals,1
2020,K Rabada,Delhi Capitals,2
2021,K Rabada,Delhi Capitals,3
2022,K Rabada,Punjab Kings,1
2023,K Rabada,Punjab Kings,2
2024,K Rabada,Punjab Kings,3
2025,K Rabada,Gujarat Titans,1
2014,K Santokie,Mumbai Indians,1
2012,K Upadhyay,Pune Warriors,1
2013,K Upadhyay,Pune Warriors,2
2021,K Yadav,Rajasthan Royals,1
2023,K Yadav,Rajasthan Royals,1
2021,KA Jamieson,Royal Challengers Bengaluru,1
2025,KA Jamieson,Punjab Kings,1
2024,KA Maharaj,Rajasthan Royals,1
2010,KA Pollard,Mumbai Indians,1
2011,KA Pollard,Mumbai Indians,2
2012,KA Pollard,Mumbai Indians,3
2013,KA Pollard,Mumbai Indians,4
2014,KA Pollard,Mumbai Indians,5
